Divya Kakran,"https://static.tnn.in/thumb/msid-93379365,imgsize-100,width-1280,height-720,resizemode-75/93379365.jpg"
Mohit Grewal,https://origin-staticv2.sonyliv.com/landscape_thumb/CWG_2022_DAY08_WRESTLING_MENS_BRONZE_MATCH_125KG_MOHIT_GREWAL_MEDAL_MOMENT_ADANI_GHM-02_001--2.0.jpg
Pooja Gehlot,http://lbimg.in.com/LiveBlog/img/2022/08/8070855fa3c6429dca67d8b54e1671ae.jpg
Pooja Sihag,https://newsroomodisha.com/wp-content/uploads/2022/08/20220807_063720-450x300.jpg
Deepak Nehra,https://images.news18.com/ibnlive/uploads/2022/08/deepak-nehra.jpg
Achanta Sharath Kamal and Sreeja Akula,https://thebridge.in/h-upload/2022/08/07/1500x900_35761-screenshot-2022-08-08-at-125251-am.jpg
"Achanta Sharath Kamal, Sathiyan Gnanasekaran
 Harmeet Desai, Sanil Shetty",https://files.prokerala.com/news/photos/imgs/1024/from-left-india-s-sanil-shetty-sathiyan-1417579.jpg
Bhavina Patel,"https://static.toiimg.com/thumb/msid-93400061,imgsize-39230,width-400,resizemode-4/93400061.jpg"
Achanta Sharath Kamal,https://odishabytes.com/wp-content/uploads/2022/08/Achanta-CWG-TT-gold-1200x900.jpg
Achanta Sharath Kamal and Sathiyan Gnanasekaran,https://staticg.sportskeeda.com/editor/2022/08/924af-16598878602875-1920.jpg
Sathiyan Gnanasekaran,https://th-i.thgim.com/public/incoming/re3758/article65719047.ece/alternates/FREE_1200/Britain_Commonwealth_Games_Table_Tennis_62303.jpg-961f5.jpg
Sonal Patel,https://aniportalimages.s3.amazonaws.com/media/details/SonalPatel2022072608110520220726085056.jpg
"Lovely Choubey, Rupa Rani Tirkey
 Naynmoni Saikia, Pinki",https://images.hindustantimes.com/img/2022/08/03/1600x900/4c33c73c-1361-11ed-8541-07a16fca6ef1_1659554825817.jpg
"Chandan Kumar Singh, Dinesh Kumar
Navneet Singh, Sunil Bahadur","https://static.toiimg.com/thumb/msid-93404648,imgsize-87996,width-400,resizemode-4/93404648.jpg"
Indian Womens Cricket,https://www.mykhel.com/img/400x90/2022/08/indianwomenscricketteam-1659905396.jpg
Indian Womens Hockey,"https://static.toiimg.com/thumb/msid-93422908,imgsize-181064,width-400,resizemode-4/93422908.jpg"
Indian Men Hockey,https://assets.khelnow.com/news/uploads/2022/07/671-Khel-Now-13-copy.jpg
Satwiksairaj Rankireddy and Chirag Shetty,https://images.news18.com/ibnlive/uploads/2022/05/chirag-shetty-satwiksairaj-rankireddy.jpg
